metric,paper_base,reproduced_base,delta
micro_precision,0.71,0.32036993123073276,-0.3896300687692672
micro_recall,0.69,0.7310606060606061,0.04106060606060613
micro_f1,0.7,0.4455070074196208,-0.25449299258037916
macro_precision,0.65,0.307617307910864,-0.342382692089136
macro_recall,0.6,0.8750354812428788,0.2750354812428788
macro_f1,0.62,0.38333479194331843,-0.23666520805668156
weighted_precision,0.71,0.5845469282173095,-0.1254530717826905
weighted_recall,0.69,0.7310606060606061,0.04106060606060613
weighted_f1,0.7,0.5303323554639036,-0.1696676445360964
samples_precision,0.65,0.41325252991857,-0.23674747008143004
samples_recall,0.68,0.7127400110292275,0.03274001102922741
samples_f1,0.65,0.4849192405328666,-0.1650807594671334
exact_match_ratio,0.54,0.18453902842532713,-0.35546097157467293
hamming_score,0.62,0.39591256114417495,-0.22408743885582505
accuracy,0.89,0.6838810347420665,-0.2061189652579335
f1_info,0.41,0.3235223160434258,-0.08647768395657418
f1_priv,0.63,0.34192287186778036,-0.28807712813221964
f1_bypass,0.42,0.29249962422967085,-0.12750037577032913
f1_dos,0.81,0.6436816295737458,-0.1663183704262543
f1_exec,0.64,0.41764132553606237,-0.22235867446393764
f1_mem,0.7,0.26312838721734255,-0.4368716127826574
f1_overflow,0.67,0.5918313570487483,-0.0781686429512517
f1_other,0.69,0.1924508240297714,-0.4975491759702285
