method,variant,local_accuracy,paper_accuracy,delta_accuracy,local_exact_match_ratio,paper_exact_match_ratio,delta_exact_match_ratio,local_hamming_score,paper_hamming_score,delta_hamming_score,local_micro_f1,paper_micro_f1,delta_micro_f1,local_macro_f1,paper_macro_f1,delta_macro_f1
Base,Original,0.9509511641113004,0.89,0.060951164111300415,0.75809199318569,0.54,0.21809199318568995,0.8246450880181714,0.62,0.20464508801817138,0.8682554814108675,0.7,0.16825548141086755,0.74513520428147,0.62,0.12513520428146996
Word2Vec,Original,0.8173828125,0.84,-0.02261718749999997,0.1171875,0.3,-0.1828125,0.4634765625,0.39,0.07347656250000001,0.6054852320675106,0.48,0.1254852320675106,0.21429834667313444,0.28,-0.06570165332686559
CodeBERT,Original,0.818359375,0.9,-0.08164062500000002,0.03125,0.57,-0.53875,0.43098958333333326,0.66,-0.22901041666666677,0.579185520361991,0.73,-0.15081447963800898,0.15942350332594235,0.65,-0.49057649667405767
Base,Enhanced,0.7367972742759795,0.91,-0.1732027257240205,0.14537194775695628,0.6,-0.4546280522430437,0.46269638462994517,0.69,-0.22730361537005478,0.5657062543921293,0.75,-0.1842937456078707,0.42714728902816057,0.71,-0.2828527109718394
Word2Vec,Enhanced,0.70068359375,0.86,-0.15931640625,0.078125,0.32,-0.241875,0.3793898809523809,0.49,-0.11061011904761908,0.48006785411365566,0.58,-0.0999321458863443,0.33708280287236303,0.54,-0.202917197127637
CodeBERT,Enhanced,0.74609375,0.91,-0.16390625000000003,0.109375,0.57,-0.46062499999999995,0.4119791666666667,0.71,-0.2980208333333333,0.5075757575757576,0.77,-0.26242424242424245,0.34225396019750853,0.72,-0.37774603980249144
