method,before_accuracy,before_exact_match_ratio,before_hamming_score,before_micro_f1,before_macro_f1,after_accuracy,after_exact_match_ratio,after_hamming_score,after_micro_f1,after_macro_f1,affected_predictions,correction_rate
Word2Vec,0.8173828125,0.1171875,0.4634765625,0.6054852320675106,0.21429834667313444,0.81591796875,0.1171875,0.4785807291666666,0.6226226226226226,0.3770327181822785,51.0,0.47058823529411764
CodeBERT,0.818359375,0.03125,0.43098958333333326,0.579185520361991,0.15942350332594235,0.818359375,0.03125,0.44661458333333337,0.6008583690987125,0.35357934748178654,12.0,0.5
Base-256,0.94921875,0.75390625,0.8244140625,0.8649350649350649,0.6651789366179985,0.90478515625,0.4765625,0.7082403273809523,0.7830923248053393,0.5837158414717629,131.0,0.15267175572519084
